x y
3.158476429670104153e+02 6.202417275499751668e+02
3.119946957345883902e+02 6.234262287488983247e+02
3.081418172989891673e+02 6.266106768735346577e+02
3.042876957905006066e+02 6.297934722126999532e+02
3.004328908795791904e+02 6.329753608076119917e+02
2.965773284854485610e+02 6.361564083292555551e+02
2.927210249331692467e+02 6.393366731007827184e+02
2.888646542375527133e+02 6.425169662715264849e+02
2.850069810437003071e+02 6.456957886997493006e+02
2.811486773108933335e+02 6.488739542348113218e+02
2.772897791788068389e+02 6.520515057141875559e+02
2.734303201544287276e+02 6.552284873195358159e+02
2.695703396689813758e+02 6.584049410117992238e+02
2.657105049086878239e+02 6.615816817543843626e+02
2.618495842235226405e+02 6.647572091992285550e+02
2.579857095440847274e+02 6.679292455501308723e+02
2.541208217290227935e+02 6.711001530728073021e+02
2.502555908461467880e+02 6.742707461981112829e+02
2.463900511048347823e+02 6.774410705513798803e+02
2.425242405176454952e+02 6.806111662820021593e+02
2.386588256126097178e+02 6.837818529128733189e+02
2.347925772092034151e+02 6.869516250916917670e+02
2.309261634052467116e+02 6.901213000601610474e+02
2.270596205672710539e+02 6.932909205096791538e+02
2.231929839768358192e+02 6.964605290240399427e+02
2.193262899083895263e+02 6.996301693761012075e+02
2.154595725758388198e+02 7.027998852111147698e+02
2.115928700332589756e+02 7.059697196688991880e+02
2.077262168955112429e+02 7.091397142521998376e+02
2.038602829374722774e+02 7.123106863082673499e+02
1.999938355888797332e+02 7.154811318315511244e+02
1.961275416080267178e+02 7.186518718296493944e+02
1.922614325981236334e+02 7.218229620309168695e+02
1.883955484874143167e+02 7.249944654451412589e+02
1.845299378003658148e+02 7.281664380367678859e+02
1.806646448305024251e+02 7.313389382466179995e+02
1.767997169677227589e+02 7.345120248009059196e+02
1.729352018911794744e+02 7.376857531932181473e+02
1.690705082168000786e+02 7.408594121048208763e+02
1.652031450900603886e+02 7.440299676083863005e+02
1.613369658811022873e+02 7.472021141836271454e+02
1.574707475605221703e+02 7.503743647261626393e+02
1.536051708204120700e+02 7.535475502579118938e+02
1.497402815957465805e+02 7.567217287398987082e+02
1.458761266500102920e+02 7.598969586337098008e+02
1.420133883604648304e+02 7.630740682368326588e+02
1.381508411331806201e+02 7.662515737624225949e+02
1.342891672592037935e+02 7.694303039414696741e+02
1.304284122991143136e+02 7.726103170738476820e+02
1.265686216731315312e+02 7.757916727574556717e+02
1.227098444228433323e+02 7.789744272559872798e+02
1.188527628081739635e+02 7.821594093474046758e+02
1.149961480958743891e+02 7.853451368732999072e+02
1.111406843589831510e+02 7.885324379506662353e+02
1.072864165258350795e+02 7.917213716147875857e+02
1.034333939198905910e+02 7.949119939204388174e+02
9.958229762810697139e+01 7.981051346523279335e+02
9.573190665663753407e+01 8.012993052409659640e+02
9.188286294680477795e+01 8.044953707351938874e+02
8.803566361725899014e+01 8.076928505238915932e+02
8.419045421646239902e+01 8.108904719615001113e+02
8.034717492357356150e+01 8.140879765269193058e+02
7.650374203961416697e+01 8.172828927967194659e+02
7.266001951971622930e+01 8.204750260985390469e+02
6.881522522178403278e+01 8.236634264807320278e+02
6.496857936288677138e+01 8.268471392224308829e+02
6.111930190308828514e+01 8.300252138375403774e+02
5.726725542138166247e+01 8.331974647672149104e+02
5.341036747264558926e+01 8.363614183452385760e+02
4.954857050256288176e+01 8.395168374851017461e+02
4.568082983345260573e+01 8.426629831254638248e+02
4.180732912832644388e+01 8.457981290725953158e+02
3.792413178316422773e+01 8.489252769716333660e+02
3.401367626875656924e+01 8.520711753124704728e+02
3.008657569179325719e+01 8.552788104198651808e+02
