x y
6.442354752824934394e+02 2.142784710956144920e+02
6.482231573541739635e+02 2.112596477247814448e+02
6.522108329261857307e+02 2.082408260265148954e+02
6.561985062738258421e+02 2.052220044995920603e+02
6.601861747495240706e+02 2.022031859295339871e+02
6.641738406736628804e+02 1.991843733080078778e+02
6.681608996842078341e+02 1.961647696823179672e+02
6.721485655945296003e+02 1.931459673623151332e+02
6.761362298855676727e+02 1.901271738061951169e+02
6.801238959885214399e+02 1.871083909209887395e+02
6.841115663466811156e+02 1.840896158408542362e+02
6.880992365762424470e+02 1.810708546771276417e+02
6.920863055777376758e+02 1.780513117492947970e+02
6.960739846849252217e+02 1.750325787334221843e+02
7.000616694909288071e+02 1.720138632383342667e+02
7.040493641548487176e+02 1.689951620879749896e+02
7.080370635927856711e+02 1.659764801645347916e+02
7.120247705352530829e+02 1.629578199101041776e+02
7.160118801299845472e+02 1.599383859827460697e+02
7.199996077750381573e+02 1.569197690093550648e+02
7.239873464342700800e+02 1.539011757884406109e+02
7.279750963892429354e+02 1.508826073957301617e+02
7.319628578731490052e+02 1.478640676530678206e+02
7.359506353794938605e+02 1.448455538928484998e+02
7.399378180867656738e+02 1.418262753311525444e+02
7.439256227677415154e+02 1.388078235450522584e+02
7.479134462879407010e+02 1.357894018811341255e+02
7.519012849837768044e+02 1.327710141366102903e+02
7.558891428916776931e+02 1.297526607565253016e+02
7.598770189268807371e+02 1.267343425690261256e+02
7.638643069576642120e+02 1.237152687361943322e+02
7.678522233180323155e+02 1.206970278796568437e+02
7.718401624406197925e+02 1.176788259671983496e+02
7.758281223280976064e+02 1.146606652870413541e+02
7.798161050184801297e+02 1.116425490465617827e+02
7.838041137840995134e+02 1.086244745109099199e+02
7.877915397018759904e+02 1.056056512096191682e+02
7.917795985919203758e+02 1.025876691568353181e+02
7.957676841611344116e+02 9.956973463768451893e+01
7.997557964910200781e+02 9.655185058978889856e+01
8.037439386489871822e+02 9.353401619821158874e+01
8.077321097682242907e+02 9.051623412447867167e+01
8.117197055781261952e+02 8.749770934651718335e+01
8.157079363271191141e+02 8.448003589474114960e+01
8.196962080447777907e+02 8.146241188546883905e+01
8.236844823084850304e+02 7.844486740708219941e+01
8.276729225160562464e+02 7.542727522575717103e+01
8.316614784541810650e+02 7.240805319043391819e+01
8.356514011222222962e+02 6.938783412223460800e+01
8.396416187001276512e+02 6.636519986020476836e+01
8.436318296034485229e+02 6.333940078834865517e+01
8.476213702979390519e+02 6.030996454393800832e+01
