x y
5.702664944956629824e+02 2.492666137072821755e+02
5.742300220713436829e+02 2.462162361851368075e+02
5.781935361598100371e+02 2.431658347445948323e+02
5.821570331499117401e+02 2.401154123794683812e+02
5.861205177129829735e+02 2.370649670499009005e+02
5.900845976341064443e+02 2.340152958581681730e+02
5.940480582287748348e+02 2.309648124504689122e+02
5.980115074425890498e+02 2.279143108065398451e+02
6.019749490533283733e+02 2.248637918051380495e+02
6.059383811942136617e+02 2.218132593990185342e+02
6.099018041897691091e+02 2.187627135767056927e+02
6.138652221740007917e+02 2.157121544721896669e+02
6.178286316278445156e+02 2.126615860091237948e+02
6.217926447327557753e+02 2.096118004597998379e+02
6.257560465012520581e+02 2.065612129382681701e+02
6.297194442392667497e+02 2.035106179127229211e+02
6.336828396399497478e+02 2.004600178538179591e+02
6.376462333694066729e+02 1.974094127801874379e+02
6.416096276331668378e+02 1.943588040075412948e+02
6.455730201243350166e+02 1.913081950612326807e+02
6.495364155216204836e+02 1.882575831319607005e+02
6.535004204178505915e+02 1.852077679961728904e+02
6.574638203791695332e+02 1.821571603451855310e+02
6.614272243809986094e+02 1.791065561359480682e+02
6.653906340259034096e+02 1.760559551446588102e+02
6.693540498695349470e+02 1.730053614743289643e+02
6.733174694496747179e+02 1.699547760052552405e+02
6.772808991873329205e+02 1.669041965976890651e+02
6.812443372358454781e+02 1.638536281891711042e+02
6.852083910216863387e+02 1.608038653922453420e+02
6.891718502012683985e+02 1.577533203020173289e+02
6.931353175057962517e+02 1.547027908801485694e+02
6.970987980487160485e+02 1.516522742218858468e+02
7.010622930926381287e+02 1.486017738903897225e+02
7.050258005781530528e+02 1.455512924583114795e+02
7.089893249145975460e+02 1.425008288495137663e+02
7.129534691153778567e+02 1.394511822828492029e+02
7.169170251253169681e+02 1.364007601060390300e+02
7.208805996024443630e+02 1.333503612821439219e+02
7.248441900368463848e+02 1.302999884912979383e+02
7.288078003941011502e+02 1.272496397055709849e+02
7.327714336468217198e+02 1.241993169459931892e+02
7.367350860375493085e+02 1.211490240816212349e+02
7.406987612418479330e+02 1.180987593060970084e+02
7.446630660624718985e+02 1.150493209990154924e+02
7.486267878842143091e+02 1.119991186994466261e+02
7.525905368597818779e+02 1.089489492292862565e+02
