x y
1.226883475202706109e+02 7.946309018937663495e+02
1.188314580911321059e+02 7.978089943915492768e+02
1.149765354093942165e+02 8.009893768239319343e+02
1.111223488123326320e+02 8.041705681984792591e+02
1.072695837530633867e+02 8.073533943823016443e+02
1.034182773499312589e+02 8.105379214558151943e+02
9.956851592711700505e+01 8.137241755476394474e+02
9.572042593519910270e+01 8.169132863659094710e+02
9.187152882807458809e+01 8.201035668709671427e+02
8.802161365565865481e+01 8.232948862227658537e+02
8.416992071587725377e+01 8.264862719861046116e+02
8.031566452837648740e+01 8.296767650375317089e+02
7.645870940748977773e+01 8.328661716419796903e+02
7.259699239375220259e+01 8.360519933565560677e+02
6.873037472140697446e+01 8.392340345847505887e+02
6.485807023189994425e+01 8.424113333636523748e+02
6.097931388065120473e+01 8.455829122737047783e+02
5.709389601625088062e+01 8.487486299379511365e+02
5.319998797060026163e+01 8.519057903780555989e+02
4.929660657365184306e+01 8.550548764682489491e+02
4.538636454794328756e+01 8.581922876096037953e+02
4.149853690632897951e+01 8.613096254658305497e+02
3.767421774566162185e+01 8.644239390172315325e+02
3.393828498743323507e+01 8.675643053690127999e+02
3.031817025486373041e+01 8.707601342229802412e+02
2.684105403772059617e+01 8.740380678658966644e+02
2.356610045891221716e+01 8.774689829935988428e+02
2.118046313098176370e+01 8.815670369085491984e+02
1.919723737721147927e+01 8.855205002916322883e+02
1.727600760614399178e+01 8.889377737847858043e+02
1.599819150158526782e+01 8.922942751247139768e+02
1.565018492059579103e+01 8.958076824664141213e+02
1.610838653520465868e+01 8.991734729326597062e+02
1.703822162796245721e+01 9.017446626779067174e+02
1.825869042515455476e+01 9.037340503543136947e+02
2.050048559892860567e+01 9.055471118984524992e+02
2.356292240053488740e+01 9.078386561703341613e+02
2.758348984614252686e+01 9.093820243502016183e+02
3.189609459569254568e+01 9.104824706237553755e+02
3.630871050407580469e+01 9.115758102688828330e+02
4.091785438681432652e+01 9.124497335214547320e+02
4.569570878349219356e+01 9.129342571505383148e+02
5.054260984914304800e+01 9.131393106855546193e+02
5.541108862230402110e+01 9.132072478235342032e+02
6.030044780054083731e+01 9.131776235370318773e+02
6.520357419930712695e+01 9.130258838411759825e+02
7.011599980762127871e+01 9.127925694996300763e+02
7.503642943839793134e+01 9.125331633542976988e+02
7.995708142973370514e+01 9.122260449740949753e+02
8.486911481468933971e+01 9.118541289559145753e+02
8.978521745510789742e+01 9.115642473751380521e+02
9.469591813357277488e+01 9.112180029700040222e+02
9.959737154254514735e+01 9.107839049274168701e+02
1.044854102214740124e+02 9.102395756035100476e+02
1.093594776916002616e+02 9.095944674020624916e+02
1.142213798361210024e+02 9.088688398036889566e+02
1.190398858120889827e+02 9.078958911313886802e+02
1.238221798856428109e+02 9.067529479260092558e+02
1.285853688469248368e+02 9.055430865932805773e+02
1.334066738015919782e+02 9.046061202660707750e+02
1.382239178483686146e+02 9.036222742900278035e+02
1.430254226063764236e+02 9.025431871344546835e+02
